import time: self [us] | cumulative | imported package
import time:       153 |        587 |       django.core.checks.registry
import time:       302 |        302 |       django.core.checks.async_checks
import time:       363 |        363 |               django.dispatch.dispatcher
import time:       289 |        652 |             django.dispatch
import time:       860 |       1511 |           django.core.signals
import time:       295 |        295 |             django.core.cache.backends
import time:       291 |        585 |           django.core.cache.backends.base
import time:       277 |        277 |           django.utils.connection
import time:       237 |       2609 |         django.core.cache
import time:       146 |        146 |             _compat_pickle
import time:       513 |        513 |             _pickle
import time:       732 |       1390 |           pickle
import time:       396 |        396 |               _bisect
import time:       183 |        578 |             bisect
import time:       587 |        587 |             _random
import time:       414 |       1578 |           random
import time:       443 |        443 |               zlib
import time:       128 |        128 |                 _compression
import time:       440 |        440 |                 _bz2
import time:       286 |        853 |               bz2
import time:       519 |        519 |                 _lzma
import time:       291 |        810 |               lzma
import time:       509 |       2614 |             shutil
import time:       490 |       3103 |           tempfile
import time:       829 |        829 |             _hashlib
import time:       572 |        572 |             _blake2
import time:       292 |       1692 |           hashlib
import time:       203 |        203 |               django.core.files.utils
import time:       253 |        455 |             django.core.files.base
import time:        96 |        551 |           django.core.files
import time:        88 |         88 |           django.core.files.locks
import time:        73 |         73 |           django.core.files.move
import time:       230 |       8703 |         django.core.cache.backends.filebased
import time:       140 |      11451 |       django.core.checks.caches
import time:        91 |         91 |       django.core.checks.commands
import time:        77 |         77 |         django.core.checks.compatibility
import time:       226 |        303 |       django.core.checks.compatibility.django_4_0
import time:       421 |        421 |           django.db.utils
import time:       189 |        609 |         django.db
import time:        88 |        697 |       django.core.checks.database
import time:        86 |         86 |       django.core.checks.files
import time:       223 |        223 |       django.core.checks.model_checks
import time:        71 |         71 |         django.core.checks.security
import time:       345 |        416 |       django.core.checks.security.base
import time:       102 |        102 |       django.core.checks.security.csrf
import time:        94 |         94 |       django.core.checks.security.sessions
import time:        80 |         80 |       django.core.checks.templates
import time:       337 |        337 |               numbers
import time:       808 |       1144 |             _decimal
import time:       160 |       1304 |           decimal
import time:       555 |        555 |             termios
import time:        27 |         27 |             pywatchman
import time:       414 |        995 |           django.utils.autoreload
import time:       416 |       2714 |         django.utils.translation
import time:       249 |        249 |           django.conf.locale
import time:       208 |        208 |           django.utils.safestring
import time:       519 |        975 |         django.utils.translation.trans_real
import time:       119 |       3807 |       django.core.checks.translation
import time:       122 |        122 |       django.core.checks.urls
import time:       330 |      19274 |     django.core.checks
import time:       202 |        202 |       django.utils.termcolors
import time:        26 |         26 |       colorama
